model  ,workload      ,freq    ,speed                ,power              ,voltage
little ,cacherate-60  ,400000  ,0.6802793380901776   ,48524.583942000005 ,919598.5401459999
little ,cacherate-60  ,500000  ,0.6189464095946562   ,54936.129496       ,918902.8776979999
little ,cacherate-60  ,600000  ,0.5849400333991195   ,66587.352518       ,956205.0359709999
little ,cacherate-60  ,700000  ,0.5515409139213603   ,79813.654676       ,992562.94964
little ,cacherate-60  ,800000  ,0.5302869287991498   ,93789.280576       ,1030000.0
little ,cacherate-60  ,900000  ,0.5140428115986033   ,109402.185714      ,1066901.785714
little ,cacherate-80  ,1000000 ,0.503181595692609    ,121070.53956800001 ,1103687.05036
little ,cacherate-80  ,1100000 ,0.4898025779083048   ,139488.885714      ,1140017.857143
little ,cacherate-80  ,1200000 ,0.48294991026268563  ,159953.143885      ,1177419.064748
little ,cacherate-80  ,1300000 ,0.478218306412139    ,187031.151079      ,1226250.0
little ,cacherate-80  ,1400000 ,0.4749551313427966   ,216495.378571      ,1274767.857143
little ,cacherate-80  ,1500000 ,0.4739761788219938   ,244673.302158      ,1311232.014388
little ,cacherate-80  ,200000  ,1.0                  ,30321.151079000003 ,919514.3884889999
little ,cacherate-80  ,300000  ,0.7843041279164629   ,38129.539568       ,919190.647482
little ,cacherate-80  ,400000  ,0.6823299069995107   ,45473.525180000004 ,919451.438849
little ,cacherate-80  ,500000  ,0.6227769619840106   ,51275.913669       ,918750.0
little ,cacherate-80  ,600000  ,0.5852504486865721   ,63013.467626       ,956250.0
little ,cacherate-80  ,700000  ,0.5589818893783652   ,75268.868613       ,992618.6131389999
